"variable";"res";"p.value"
"completenesscomplete";"1.48 (1.05 - 2.07)";0,024
"dist_amb_check_up_cat31-60 min";"0.72 (0.50 - 1.03)";0,076
"dist_amb_check_up_cat60-90 min";"0.42 (0.25 - 0.70)";0,001
"dist_amb_check_up_cat90+ min";"0.96 (0.24 - 3.89)";0,955
"languageFrench";"0.54 (0.37 - 0.78)";0,001
"languageItalian";"1.19 (0.26 - 5.40)";0,823
"problem_bladder1";"1.43 (1.00 - 2.06)";0,053
"problem_cancer1";"0.36 (0.16 - 0.81)";0,014
"problem_spasticity1";"1.58 (1.11 - 2.27)";0,012
